File_Number,File_Name,File_type,ID_OC_id
1,data_1.csv,xlsx,13
2,img_2.p2g,jpg,13
1,read_1.pdf,pdf,14
2,read_2.pdf,pdf,14
3,read_3.pdf,pdf,14
1,img_1.p1g,jpg,15
2,img_2.p2g,jpg,15
3,read_3.pdf,pdf,15
1,no file,no file,16
1,no file,no file,17
1,data_1.csv,xlsx,18
1,no file,no file,19
1,no file,no file,20
1,img_1.p1g,png,21
2,data_2.csv,xlsx,21
3,img_3.p3g,jpg,21
1,img_1.p1g,jpg,22
2,img_2.p2g,jpg,22
3,read_3.pdf,pdf,22
1,no file,no file,23
1,no file,no file,24
1,data_1.csv,csv,25
2,read_2.pdf,pdf,25
3,img_3.p3g,png,25
1,img_1.p1g,jpg,26
1,img_1.p1g,png,27
2,data_2.csv,xlsx,27
1,data_1.csv,xlsx,28
2,data_2.csv,csv,28
1,data_1.csv,csv,29
2,data_2.csv,csv,29
1,read_1.pdf,pdf,30
1,read_1.pdf,pdf,31
2,data_2.csv,csv,31
1,data_1.csv,xlsx,32
2,read_2.pdf,pdf,32
3,read_3.pdf,pdf,32
